Здание ID,Название здания,Тип здания,Адрес,Кол-во организаций,Организации
32617500,Авиатор-3,garages,"улица Гудкова 8, Жуковский",2,"Без названия
Без названия"
32617635,,garages,"улица Гудкова 2, Жуковский",0,
33803127,"Автомойка, Антикоррозийная обработкая",yes,"улица Наркомвод 7, Жуковский",0,
34067301,,university,"улица Гагарина 16, Жуковский",0,
34067302,,hangar,"улица Пушкина 22, Жуковский",0,
34072785,,apartments,"улица Маяковского 24, Жуковский",7,"Жуковский центр реабилитации инвалидов ""Радуга""
Управление ФСБ
Без названия
Без названия
Без названия
Без названия
Без названия"
34074681,,residential,"улица Амет-Хан Султана 11, Жуковский",1,Без названия
34074682,,office,"улица Амет-Хан Султана 7А, Жуковский",6,"Маленький Эрудит
Без названия
Без названия
Без названия
The One
Ozon"
34077975,,school,"Молодёжная улица 10, Жуковский",2,"Без названия
Жуковская детская школа искусств"
34077977,,kindergarten,"улица Гагарина 44, Жуковский",0,
